collection_name,k,recall,recall@1,recall@2,recall@3,precision,precision@1,precision@2,precision@3,average_precision,retrieval_count
PQ_COMB_Mixtral_8x22B_intfloat_multilingual_e5_small,17,0.7777777777777778,0.4444444444444444,0.5925925925925926,0.6666666666666666,0.3055555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5462962962962963,4.0
PQ_COMB_Mixtral_8x22B_intfloat_multilingual_e5_small,19,0.7777777777777778,0.4444444444444444,0.5925925925925926,0.6666666666666666,0.3055555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5462962962962963,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,3,0.7407407407407407,0.5,0.5925925925925926,0.6851851851851852,0.3055555555555556,0.5,0.5,0.5,0.5751028806584362,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,5,0.7592592592592593,0.5,0.5925925925925926,0.7037037037037037,0.3101851851851852,0.5,0.5,0.5,0.581275720164609,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,9,0.7407407407407407,0.5,0.5925925925925926,0.7037037037037037,0.3055555555555556,0.5,0.5,0.5,0.5766460905349794,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,11,0.7407407407407407,0.5,0.5925925925925926,0.6851851851851852,0.3055555555555556,0.5,0.5,0.5,0.5751028806584362,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,13,0.7407407407407407,0.5,0.5925925925925926,0.7037037037037037,0.3055555555555556,0.5,0.5,0.5,0.5766460905349794,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,15,0.7407407407407407,0.5,0.5925925925925926,0.7037037037037037,0.3055555555555556,0.5,0.5,0.5,0.5766460905349794,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,17,0.7407407407407407,0.5,0.5925925925925926,0.7037037037037037,0.3055555555555556,0.5,0.5,0.5,0.5766460905349794,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_large,19,0.7407407407407407,0.5,0.5925925925925926,0.7037037037037037,0.3055555555555556,0.5,0.5,0.5,0.5766460905349794,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_small,3,0.7777777777777778,0.5370370370370371,0.6666666666666666,0.7407407407407407,0.2962962962962963,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.602880658436214,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_small,5,0.7777777777777778,0.5370370370370371,0.6666666666666666,0.7407407407407407,0.2962962962962963,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.602880658436214,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_small,9,0.7777777777777778,0.5370370370370371,0.6666666666666666,0.7407407407407407,0.2962962962962963,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.602880658436214,4.0
PQ_COMB_Mixtral_8x22B_text_embedding_3_small,11,0.7777777777777778,0.5370370370370371,0.6666666666666666,0.7407407407407407,0.2962962962962963,0.5370370370370371,0.5370370370370371,0.5370370370370371,0.602880658436214,4.0
